accession,TMP/Seq2Topt_classification,mean_RMSD_psychrophilic,mean_RMSD_mesophilic,mean_RMSD_thermophilic,mean_Rg_psychrophilic,mean_Rg_mesophilic,mean_Rg_thermophilic,mean_RMSF_psychrophilic,mean_RMSF_mesophilic,mean_RMSF_thermophilic
YCB25778,psychrophiles,0.8858106855572213,0.8984839932033982,1.2599562463268366,2.9246620119940028,2.7729813923038478,2.5161093468265867,0.4773895674300255,0.4932964376590331,0.44678804071246814
UFK27161,psychrophiles,0.8636024807096451,0.955334816041979,1.2178027474762618,2.675629595702149,2.643625067966017,2.554681140429785,0.878677519379845,0.5131188630490956,0.5613454780361757
YCQ78089,psychrophiles,1.0280416250374813,0.8615937259370313,1.0898132035482258,2.7324115187406295,2.6854345472263867,2.7422708460769614,0.4672460559796438,0.5667241730279897,0.8945793893129771
YP_874025,thermophiles,0.5164118353323339,0.6532958093453274,0.7551093585207397,2.3545626616691653,2.3108363128435783,2.370473823588206,0.24099115044247787,0.2537191740412979,0.3621616519174041
YP_004782219,thermophiles,0.4129680779610195,0.5031248818590704,0.6471280706646677,2.2988856001999,2.3276876011994,2.3550827291354324,0.24297559523809525,0.24032232142857143,0.351560119047619
AHZ95250,thermophiles,0.44576471159420294,0.5800589538730635,0.6086270623188406,2.37901924037981,2.3296147031484264,2.321981968515742,0.27694778761061944,0.24417079646017698,0.31829262536873154
XCZ64124,mesophiles,0.4527784609695152,0.5239268434782608,0.6870468664167916,2.62647691904048,2.606356423788106,2.564945707146427,0.8323291866028707,1.0029129186602872,0.41781435406698564
WAX22921,mesophiles,0.31545460894552724,0.396535076111944,0.38606084542728636,2.219200138930535,2.231577246376812,2.188855410294852,0.3677176646706587,0.27023353293413177,0.33626706586826344
UUV43823,mesophiles,1.1366353373313343,1.024397740929535,1.2422529666666668,2.6302437221389305,2.5949360989505244,2.5737311994003003,0.50538725,0.3009755,0.58291525
YP_009791320,hottest,0.3348767830584708,0.39140286076961517,0.45409332963518245,2.244584004997501,2.2661181839080458,2.230629058970515,0.14820239520958084,0.17179670658682633,0.2039577844311377
YP_004322308,hottest,0.36374438110944524,0.43758733743128436,0.44115432053973014,2.2381345862068964,2.167672538730635,2.2321870184907544,0.21610628742514976,0.2976431137724551,0.38374281437125746
XYR95885,hottest,0.32750541974013,0.37989096221889057,0.5029027163918041,2.2649159525237383,2.23100031884058,2.2454041299350327,0.15532328358208955,0.18876089552238806,0.2060994029850746
XQO94789,coldest,0.591439811794103,0.5170108499750125,0.7410929306846576,2.359446548725637,2.3987345417291355,2.3542524267866067,0.24304783783783784,0.25634972972972975,0.30501054054054055
YP_009151072,coldest,0.7736647421789105,0.6825958351824087,0.8241626389305347,2.5096501449275364,2.4250160019990004,2.4495850314842578,0.3408116915422886,0.41253756218905474,0.4016947761194029
YP_007010273,coldest,0.5360394291354323,0.5168043375312343,0.616625127686157,2.422013495252374,2.409977625687157,2.3441914137931033,0.2552552845528455,0.23145582655826555,0.24564742547425475
YP_009213881,random,0.8230329695652174,1.0966180227886058,1.1158058820089956,2.6633524102948525,2.757951663668166,2.5867399905047477,0.4694867346938776,0.9005801020408162,0.4799168367346939
UVK61175,random,0.5517415687656173,0.48405276036981504,0.6072313171914043,2.285027583708146,2.3203735927036484,2.4421435407296355,0.2669937125748503,0.3519233532934132,0.48016137724550895
CAD5240622,random,0.5020862675162419,0.7371862039480259,0.6707673296851575,2.341040632183908,2.3591323763118446,2.3588929330334834,0.19653628808864268,0.2936950138504155,0.28827285318559553
